;Julho;24/07/2013;Equipe anterior;;_;Administradora de Serviços do Mercado Atacadista de Energia Elétrica – SMAE;Pessoa jurídica de direito privado, empresa prestadora de serviços administrativos, técnicos e jurídicos, no âmbito do Mercado Atacadista de Energia Elétrica, sob autorização da ANEEL.;Revogado;Resolução ANEEL n. 73, de 8 de fevereiro de 2002 (Diário Oficial, de 13 fev. 2002, seção 1, p. 40) (REVOGADA);http://www.aneel.gov.br/cedoc/res2002073.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;12/07/2023;Victoria;;STD;Aerogerador;Equipamento para produção de energia elétrica a partir da energia cinética do vento.;Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;Não se Aplica;;Termo Novo;;;;;
;Maio;09/05/2012;Equipe anterior;;SRC;Aferição de medidor;Verificação realizada pela distribuidora, na unidade consumidora ou em laboratório, dos valores indicados por um medidor e sua conformidade com as condições de operação estabelecidas na legislação metrológica.;Revogado;Resolução Normativa ANEEL n. 414, de 9 de setembro de 2010 (Diário Oficial, de 15 set. 2010, seção 1, p. 115) (REVOGADA);http://www2.aneel.gov.br/cedoc/ren2010414.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;24/07/2013;Letícia;Distribuição;SRD;Afundamento Momentâneo de Tensão – AMT;Evento em que o valor eficaz da tensão do sistema se reduz para valores abaixo de 90% e acima ou igual a 10% da tensão nominal de operação, durante um intervalo superior ou igual a um ciclo e inferior ou igual a 3 segundos.;Vigente;Resolução Normativa ANEEL n. 956, de 7 de dezembro de 2021 (Diário Oficial, de 15 dez. 2021, seção 1, p. 125), Anexo I: Módulo 1 do PRODIST – Glossário de termos;https://www2.aneel.gov.br/cedoc/ren2021956.pdf;https://www2.aneel.gov.br/cedoc/aren2021956_2.pdf;Não se Aplica;;SIM;;;;;
;Janeiro;24/01/2014;Letícia;Distribuição;SRD;Afundamento Temporário de Tensão – ATT;Evento em que o valor eficaz da tensão do sistema se reduz para valores abaixo de 90% e acima ou igual a 10% da tensão nominal de operação, durante um intervalo superior a 3 segundos e inferior a 3 minutos.;Vigente;Resolução Normativa ANEEL n. 956, de 7 de dezembro de 2021 (Diário Oficial, de 15 dez. 2021, seção 1, p. 125), Anexo I: Módulo 1 do PRODIST – Glossário de termos;https://www2.aneel.gov.br/cedoc/ren2021956.pdf;https://www2.aneel.gov.br/cedoc/aren2021956_2.pdf;Não se Aplica;;SIM;;;;;
;Maio;14/05/2012;Equipe anterior;;SGE;Agência;Autarquia integrante da Administração Indireta de Estado-membro constituída com a finalidade, entre outras, de regular, controlar e fiscalizar serviços públicos.;Vigente;Resolução Normativa ANEEL n. 914, de 23 de fevereiro de 2021 (Diário Oficial, de 1º mar. 2021, seção 1, p. 97);http://www2.aneel.gov.br/cedoc/ren2021914.pdf;_;Não se Aplica;Termo geral, não é específico do seror de energia;Termo Excluído;;;;;
;Julho;24/07/2013;Equipe anterior;;_;Agência conveniada;Órgão credenciado pela ANEEL, nos Estados e no Distrito Federal, para a execução das atividades complementares de regulação, controle e fiscalização dos serviços e instalações de energia elétrica, mediante convênio previamente estabelecido, nos termos do art. 20 da Lei nº 9.427, de 1996.;Revogado;Resolução ANEEL n. 81, de 18 de fevereiro de 2003 (Diário Oficial, de 19 fev. 2003, seção 1, p. 81) (REVOGADA);http://www.aneel.gov.br/cedoc/res2003081.pdf;_;Não se Aplica;;SIM;;;;;
;Junho;02/06/2021;Letícia;;SRD;Agência Nacional de Energia Elétrica – ANEEL;Autarquia sob regime especial, vinculada ao MME, que tem a finalidade de regular e fiscalizar a produção, a transmissão, a distribuição e comercialização de energia elétrica. Foi criada pela Lei nº 9.427, de 26 de dezembro de 1996.;Vigente;Resolução Normativa ANEEL n. 956, de 7 de dezembro de 2021 (Diário Oficial, de 15 dez. 2021, seção 1, p. 125), Anexo I: Módulo 1 do PRODIST – Glossário de termos;https://www2.aneel.gov.br/cedoc/ren2021956.pdf;https://www2.aneel.gov.br/cedoc/aren2021956_2.pdf;Não se Aplica;;SIM;;;;;
;Agosto;27/08/2021;Equipe anterior;Distribuição;SRD;Agente;Cada uma das partes envolvidas em produção, transporte, comercialização, consumo, importação e exportação de energia elétrica.;Revogado;Resolução Normativa ANEEL n. 842, de 18 de dezembro de 2018 (Diário Oficial, de 26 dez. 2018, seção 1, p. 247), Módulos do PRODIST, Módulo 1 – Introdução (REVOGADA);http://www2.aneel.gov.br/cedoc/ren2018842.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;24/07/2013;Equipe anterior;;-;Agente autoprodutor;(v. Autoprodutor);;;;;;;SIM;;;;;
